A B	AB
A C h E	AChE
A N O V A	ANOVA
A s t e r	Aster
ASA的	ASA
AST的	AST
B A F	あるBAF	BAF
B P	BP
B P M	BPM
B S R	BSR
B V	BV
B型	B型
C A G	CAG
C B M	CBM
C C L	CCL
C J	CJ
C O I	COI
C U D A	CUDA
C l u s t a l	Clustal
CBM井	CBM井
CI的	CI
COD去除	COD除去
COD的	COD
COD负荷	COD負荷
COI基因	COI遺伝子
CT扫描	CTスキャン
Ca离子	Caイオン
C型	C型
D G G E	DGGE
D S C	DSC
DA的	DA
DNA交叉杂交	DNAクロスハイブリダイゼーション
DNA的交叉	DNAクロス
DNA芯片	DNAミクロアレイ
DNA阳性异常	DNA陽性だ異常だ
DNA限制性	DNA制限
DNA限制性分析	DNA制限分析
E x	Ex
F I T C	FITC
G P U	GPU
G S S	GSS
GG型	GG
GG型基因	GG遺伝子
GPU工程	GPU工学
GSS来源	GSS由来
H L S	HLS
HBV的	HBV
HCV基因	HCV遺伝子
HCV基因分型	HCV遺伝子タイピング
HCV患者	HCV患者
HRT的	HRT
I U S	IUS
I/O的	I/O
Km值	Km値
L P A	LPA
M A O	MAO
M P A	MPA
M a o	Mao
MAO方式	MAO方式
MAO覆盖	MAO被覆
MBR的溶出	MBR溶出
MBR的溶出液	MBR溶出液
MRI所见	MRI所見
N J	NJ
N T U	NTU
NK细胞	NK
O N U	基づくONU	ONU
OH的	OH
OH的结构	OH構造
ONU功能	ONU機能
PCR扩增限制	PCR制限
PCR碱基	PCR塩基
PCR碱基序列	PCR塩基配列
PCR碱基序列测定	PCR塩基配列決定
PCR限制性片段	PCR制限断片
P波	P波
P波方程	P波方程式
Q E D	QED
R E	RE
R F L P	RFLP
R a n d	Rand
R e c i p e	Recipe
S C E	SCE
S F	SF
S M E	SME
S P E	SPE
S Q L	SQL
S i m u l i n k	Simulink
SAP患者	SAP患者
SEM图像	SEM画像
SI的	SI
SI的指数	SI指数
SS浓度	SS濃度
Shen表示	Shen
T G	TG
T G A	TGA
T T T	TTT
T g	Tg
TTT曲线	TTT曲線
V E S	VES
V T	VT
X U L	XUL
XML的搜索引擎	XML検索エンジン
XML的检索	XML検索
X射线	X線
X射线光	X線光
X射线分	X線分
X射线分光	X線分光
X射线分光分析	X線分光分析
X射线电子	X線光電子
X射线电子分光法	X線光電子分光法
X射线衍射	X線回折
一些	いくらか
一例	一例
一定	ある	一定
一控制	一方コントロール
一方面	一方
一方面控制组	一方コントロールグループ
一样	一様だ
一样媒体	一様だ媒体
一样的	一様だの
一种	一種
一种在SAP	するSAP
一种接口	するIF
一致	よく一致	よく一致する	一致	一致する	良く一致する
一致性	良く一致
一致的	一致する	一貫する
一般	一般	一般に
一贯	一貫
一部分	一部
一部分固有	一部固有だの
一部分固有界限	一部固有だ限界
上	上
上升	より上昇	アップする	上げる	上昇	上昇する	向上	向上する
上升因素	向上因子
上市	上場
上市SME	上場SME
上市中小	上場中小
上市中小企业	上場中小企業
上方	上方
上方控制	上方制御	上方制御さ
上皮	上皮
上皮细胞	上皮細胞
上述	上記
上述化学	上記化学
上述化学试剂	上記化学試薬
上述微细	上記微細だ
上述微细结构	上記微細だ構造
上述微细结构变换	上記微細だ構造変換
上述离子	上記イオン
下	下
下位	下位
下位公司	下位会社
下层	下層
下层大气	下層大気
下方	下方
下方控制	下方制御	下方制御さ
下部	下部
下部结构	下部構造
下降	下がる	下降	下降する	低下
下限	下限
不	ぎ	ない	なく
不动	不動
不动点	不動点
不动点问题	不動点問題
不变	不変だ
不变特征	不変だ特徴
不变特征量	不変だ特徴量
不变特征量提取	不変だ特徴量抽出
不可执行	する実行不可能だ	実行不可能だ
不可执行解	する実行不可能だ解	実行不可能だ解
不可能	不可能だ
不可能解	不可能だ解
不合并	不都合だ
不同功能	異なる機能
不同孵化	異なるインキュベーション
不同尺度	異なるスケール
不同指纹	異なるフィンガー	異なるフィンガープリント
不同效果	異なる効果
不同方法	異なる方法
不同显微	異なる微細だ
不同显微结构	異なる微細だ構造
不同条件	異なる条件
不同浓度	異なる濃度
不同的水	異なる水
不同的水供给	異なる水供給
不同翼偏向	異なる翼偏向
不同翼偏向角	異なる翼偏向角度
不同翼型	異なる翼
不同试剂	異なる試薬
不同速度	異なるスピード
不均衡	不均衡だ
不均衡构成	不均衡だ構成
不对	及ぼすぎ
不正当复制	不正だコピー
不法	不正だ
不稳定	不安定だ
不稳定条件	不安定だ条件
不稳定阶段	不安定だ段階
不等式	不等式
不纯	不純だ
不纯物	不純だ物
不良反应	悪い反応
不足	不足
与GH	GH
与Pd粒子	Pd粒子
与SF的	おけるSF
专业	プロ	専門
专利权	特許権
专利权所有	特許権所有
专利权所有公司	特許権所有会社
丘疹	丘疹
丘疹合并	丘疹合併
丘疹合并轻微	丘疹合併軽微だ
丙型肝炎	C型肝炎
丙型肝炎患者	C型肝炎患者
丙型肝炎病毒	HCV
丙型肝炎病毒蛋白酶	HCVプロテアーゼ
丙型肝炎病毒蛋白酶抑制	HCVプロテアーゼ阻害
丙型肝炎病毒蛋白酶抑制剂	HCVプロテアーゼ阻害薬
东	東
丝	Ser
两侧	両側
个数	個所	個数
中国	中国
中国医科	中国医科
中国医科大学	中国医科大学
中国医科大学附属	中国医科大学付属
中国医科大学附属盛京	中国医科大学付属盛京
中国医科大学附属盛京医院	中国医科大学付属盛京病院
中国母	中国母
中国母集团	中国母集団
中央	中央
中央周波	中央周波
中央部	中央部
中小	中小
中小企业	中小企業
中心	センター	中心	都心
中心周围	都心周辺
中性	中性
中性乳制品	中性乳製品
中抽取	より抽出する
中断	ブレーク	中断
中药	漢方薬
中药症状	漢方薬症状
中药综合症	漢方薬症候	漢方薬症候群
中间	中間
中间部分	中間部分
临床	臨床
临床数据	臨床データ
临界	臨界
临界流量	臨界流量
临界路径	臨界径路
临界路径延迟	臨界径路遅れる
为	およそ
为头高	頭高いさが
为所有	およそすべて
为高	高いさが
主要	もたらす主だ	主として	主だ	主要だ
主要传染病	もたらす主だ感染症	主だ感染症
主要依赖	主だ依存	主だ依存する
主要候选	主要だ候補
主要倾向	主要だ傾向
主要吸附	主要だ吸着
主要感染	もたらす主だ感染	主だ感染
主要模式	主要だ模式
主要模式种	主要だ模式種
主要渔业	主要だ漁業
主要渔业生产	主要だ漁業生産
主要渔业生产地区	主要だ漁業生産地域
主要种类	主要だ種
主要种类对	主要だ種対
主要结构	主要だ構造
主要进展关系	係わる主要だ進歩
主要进步	主要だ進歩
主要部分	主要だ部
主要部分旋转	主要だ部回転	主要だ部回転変だ
主要部分旋转变流机	主要だ部回転変だ流機
主要部分旋转流动	主要だ部回転変だ流
主要酵母	主として酵母	主だ酵母
主要酵母细胞	主だ酵母細胞
主要酵母细胞悬浮	主だ酵母細胞懸濁
主要酵母细胞悬浮液	主だ酵母細胞懸濁液
主要钾	主だカリウム
主要钾气体	主だカリウムガス
举止	物腰
乌干达	ウガンダ
乙型肝炎	B型肝炎
乙基	エチル
乙烯基	ビニル
乙烯目标	ビニルターゲット
乙腈	アセトニトリル
乙酰胆碱	アセチルコリン
乙酰胆碱酯酶	アセチルコリンエステラーゼ
乙酰胆碱酯酶活性	アセチルコリンエステラーゼ活性
乙醇	エタノール
乙醇提取	エタノール抽出
乙醇提取物	エタノール抽出物
习惯	習慣
书	書
乱	乱
乳制品	乳製品
乳头	乳頭
乳头高	乳頭高
乳头高度为	乳頭高いさが
乳油	EC
乳清	ホエー
乳清蛋白	ホエー蛋白	ホエー蛋白質
乳清蛋白溶液	ホエー蛋白質溶液
乳清蛋白表面	ホエー蛋白質表面
乳白色	乳白色
乳腺	乳
了	する事	するする
了墙面	する壁面
了墙面函数	する壁面関数
了墙面函数边界	する壁面関数境界
了数值模拟	数値シミュレーションする
事	事
事实	いう事実	事実
事故	事故
事项	する事
二	II
二极管	ダイオード
二极管阵列	ダイオードアレイ
二极管阵列检测	ダイオードアレイ検出
二极管阵列检测器	ダイオードアレイ検出器
二氧化碳	CO
二氧化钛涂层	チタニア被覆
二甲苯酚	キシレノール
二甲苯酚橙	キシレノールオレンジ
互相关	相互相関
井	井
亚单位	サブユニット
亚热带	亜熱帯
交叉	クレード	クロス	交差
交叉杂交	クロスハイブリダイゼーション
交叉皮	交差皮
交叉皮层	交差皮層
交叉皮层模型	交差皮層モデル
交易	取引
交易依赖	取引依存
交流	交流
交流传输	交流伝送
交流传输方式	交流伝送方式
交通	交通
交通事故	交通事故
交通流	交通流
产业	業	産業
产业基础	産業基盤
产业开发	産業開発
产品	生産物	産品	製品
产品差别	製品差別
产品系统	産品システム
产权	所有権
产物	産物
产生	よって生じる	生じる	生む	生む出す	産	産生
产生的	おいる発生する
人	ヒト	人
人们所知的Mie	Mie
人工	人工
人工开口	人工開口
人工开口部	人工開口部
人工开口雷达	人工開口部ライダー
人工神经	人工神経
人工神经电路	人工神経回路
人工神经网络	人工神経回路網
人民	人民
人民医院	人民病院
人物	人物
人物理学	人物理学
人端粒酶	ヒトテロメラーゼ
人端粒酶催化	ヒトテロメラーゼ触媒
人端粒酶催化亚基	ヒトテロメラーゼ触媒サブユニット
人类	人間
介电	誘電
介电上升	誘電上昇
介电光谱	誘電スペクトル
介电参数	誘電パラメータ
介电行为	誘電挙動
介绍	する紹介	紹介
介绍了	紹介する
介绍的	紹介できる
介质	媒質
介质模型	媒質モデル
介质理论	媒質理論
仍	まだ
仍然支配	まだ支配
从事	従事	従事する
从而	従って
从而油母页岩	従ってオイルシェール
他	彼
付	付く
代表	代表
代谢	代謝
令	令
令幼体	令幼生
以BP电路	BP回路
以BP网络	BP回路網
以BP网络应用	BP回路網適用
以下	以下
以及不同	また異なる
以及不同叶片偏转角	また異なる翼偏向角度
以及不同机翼	また異なる翼
以及不同机翼偏向	また異なる翼偏向
以太	イーサ
以太网	イーサネット
以来	亘る
以来实施	亘る実施	亘る実施する
价	価
价格	価格
任意	いずれ	任意だの
任意高炉	任意だ高炉
仿真	シミュレーション
仿真模型	シミュレーションモデル
仿真波动	シミュレーション波動
仿真波动场	シミュレーション波動場
仿真波动场特性	シミュレーション波動場特性
企业	企業	企業体	型企業
企业内部	企業内部
企业内部构成	企業内部構成
企业内部构成辅助	企業内部構成補助
企业内部构成辅助物	企業内部構成補助物
企业成长	企業成長
企业特征	企業特徴
企业管理	企業統治
企业管理评价	企業統治評価
企业管理评价系统	企業統治評価システム
优先	優先
优先权	先取り特権
优势	優位だ
优异	対する優れる
优点	利点
优秀	優れる
优良电催化	優れる電気触媒
优良电催化活性	優れる電気触媒活性
优良电气	優れる電気
优良粘性	優れる粘性
会合	会合
传导	伝導
传播	伝搬	伝播
传播算法	伝搬アルゴリズム
传播高温	伝搬高温
传播高温合成	伝搬高温合成
传热	伝熱
传热特性	伝熱特性
传热特性预测	伝熱特性予測
传统	伝統
传输模型	伝送モデル
传达	伝達
传送	伝送	伝送する
传送摩擦	伝送する摩擦
传送方式	伝送方式
传送速度	伝送速度
传递函数	伝達関数
传递原理	伝達原理
传递特性	伝達特性
伤	傷
伤口	傷口
伤害	傷害
伤害特别是	傷害特に
伤害特别是交通	傷害特に交通
伤害特别是交通事故	傷害特に交通事故
伪	偽
伪操作	偽操作
伪操作群	偽操作群
伯特兰德	バートランド
伴随	伴う
但	かかわら
位	ビット	位
位相结构	位相構造
位系统	ビットシステム
位置	位置
位置混合	位置ハイブリッド
位置混合形成	位置ハイブリッド形成
位置监测	位置モニタ
低	低い
低乳	より低い乳
低乳头	より低い乳頭	低い乳頭
低乳头高	低い乳頭高
低乳腺	低い乳
低于	より低い
低观光	低い観光
低观光参与度	低い観光関与度
低观光相关	低い観光関与
低负债	低い負債
低速	低速だ
低速波	低速だ波
低高	低い高
低高对乳头	低い乳頭高いさが
住院	入院
体	ボディ	ボディー	体
体像	ボディーイメージ	ボディーイメージ障害
体像自我评价	ボディーイメージ障害自己評価
体像障碍自评量表	ボディーイメージ障害自己評価スケール
体液	体液
体积	体積
体积加法	体積加法
体积加法理论	体積加法理論
体积法	体積法
体系	体系
体腔	体腔
体腔细胞	体腔細胞
体腔细胞培养	体腔細胞培養
体腔细胞培养条件	体腔細胞培養条件
作业	作業
作业台	作業台
作业过程	作業過程
作用	作用	作用する	役割	役立つ
作用因素	作用する因子
作用机制	作用機構
作者	著者
作者科	著者科
使用	する使用	する使用さ	する使用する	する用いる	使う	使わ	使用	使用さ	使用する	使用できる	用いる	用いる行く
使用ASE	ASE
使用CCT	CCT
使用一种	用いる一種
使用介电	用いる誘電
使用介电光谱	用いる誘電スペクトル
使用决定	用いる決定する
使用副本	用いるレプリカ
使用同步	用いる同期
使用同步发电	用いる同期発電
使用同步发电机	用いる同期発電機
使用处理	用いる扱う
使用复制成形	用いるレプリカ成形
使用延迟	使う遅れる
使用检查	使用する検査	使用する検査する
使用检测	用いる検出する
使用的违法	よる違法だ使用
使用调查	使用する調査	使用する調査さ	用いる調査する
使用过程	使用するプロセス
使用进一步	用いるさらだ
使用进一步实验	用いるさらだ実験
使用高度	用いる高度
使用鼠标	用いるマウス
例	例	取るあげる
例全部	例すべて
例如	例えば
例如年龄	例えば年齢
例患者	例患者
例证	例証
例题	例題
供水	水供給
供电选择	電力供給選択
供给	供与する	供給
供给选择	供給選択
依次	次々
依次皮下	次第に皮下
依赖	依存	依存する
依赖样式	依存様式
侧面	側面
侵蚀	侵食
侵蚀过程	侵食プロセス
促性腺激素	性腺刺激ホルモン
促性腺激素释放	性腺刺激ホルモン放出
促进	促進	促進する
促进光	促進光
促进光分解	促進光分解
促进光分解二甲苯酚	促進光分解キシレノール
促进光分解二甲酚橙	促進光分解キシレノールオレンジ
促进相关	促進する相関
促进相关免疫	促進する相関免疫
促进相关免疫效应	促進する相関免疫エフェクター
促进相关免疫效应分子	促進する相関免疫エフェクター分子
保存	保存	温存
保存剂	保存料
保存插入	温存挿入
保护	よって保護	よって保護さ	保護	保護さ	保護できる
保护技术	保護できる技術
保持	保た	保つ	保持
保持体	保持体
保证	保証	保証する
信号	シグナル	信号
信号功率	信号パワー
信号对	シグナル対
信号对干扰	シグナル対干渉
信号对干扰加	シグナル対干渉プラス
信号对干扰加噪声	シグナル対干渉プラスノイズ
信号对干扰加噪声比损失	シグナル対干渉プラスノイズ比率損失
信号对干扰加噪声比率	シグナル対干渉プラスノイズ比率
信息	情報
信息技术	情報技術
信息整合	情報統合
信息综合平台	情報統合プラットフォーム
信赖	信頼
信道	チャネル
信道雷达	チャネルレーダ
信道雷达系统	チャネルレーダシステム
修改了	つく見直す
修正	修正	修正する	補正
修正重要	修正する重要だ
修正重要因素	修正する重要だ因子
修理	修理
修饰	修飾
修饰玻璃	修飾ガラス
修饰玻璃状	修飾ガラス状
修饰玻璃状碳	修飾ガラス状炭素
修饰玻碳电极	修飾ガラス状炭素電極
修饰电极	修飾電極
候补	候補
债权	債権
值	する値	値
值变分	値変分
值变分包含	値変分内包
值范围	値範囲
值解决	値解決
值解决方法	値解決法
倾向	傾向
倾斜	傾斜
假定	仮定	仮定する
假想	仮想
假想内窥镜	仮想内視鏡
假设	仮説
偏	する偏	偏
偏位	偏位
偏向	偏向
偏向角度	偏向角度
偏差	する偏差	偏差
偏移	オフセット
做饭	炊事
停工	ロックアウト
停止	停止	停止する	止める
停止动机	停止する動機
健康	健康だ
健康危险	健康だ危険だ
健康的	おける健康だ	おける健康だ関連
健康相关	健康だ関連
健康相关生活质量	健康だ関連クオリティオブライフ
健康相关的生活质量	おける健康だ関連クオリティオブライフ
健康调查	健康だ調査
储层	貯留層
催化亚基	触媒サブユニット
催化作用	触媒作用
催化剂	触媒
催化剂平均	触媒平均
催化剂平均粒	触媒平均粒
催化剂平均粒度	触媒平均粒度
催化氧化	触媒酸化
催化活性	触媒活性
元素	素子
充分	つく十分だ	十分だ
充分地方	十分だ地方
充分服务	十分だサービス
充分服务设备	十分だサービス設備
充分讨论	つく十分だ検討	つく十分だ検討する	十分だ検討	十分だ検討する
先	先
光	光
光传输	光透過
光催化剂	光触媒
光催化氧化	光触媒酸化
光催化活性	光触媒活性
光光度法	光光度法
光分析	光分析
光分析法	光分析法
光分解	光分解
光分解二甲苯酚	光分解キシレノール
光分解二甲苯酚橙	光分解キシレノールオレンジ
光器	光器
光学	光学
光学吸收	光学吸収
光学吸收特性	光学吸収特性
光度	光光度	光度
光度法	光度法
光度角度	光度角度
光接触	光接触
光接触氧化	光接触酸化
光接触氧化并用	光接触酸化併用
光接触氧化并用过程	光接触酸化併用プロセス
光束	ビーム
光漏斗	光漏斗
光电子	光電子
光电子能谱	光電子分光法
光纤	ファイバ
光纤放大	ファイバ増幅
光纤放大器	ファイバ増幅器
光纤端	ファイバ端
光线	光線
光线跟踪	光線追跡
光线跟踪算法	レイトレーシングアルゴリズム
光线追踪	レイトレーシング
光网络	光ネットワーク
光网络单元	光ネットワークユニット
光聚光	光集光
光聚光器	光集光器
光谱	するスペクトル	スペクトル	分光法
光谱分析	分光分析
光谱分析法	分光分析法
光集	光集
克服	克服	克服する
克維拉	ケブラー
克隆	クローン
克隆库	クローンライブラリ
克隆库分析	クローンライブラリ分析
免疫	免疫
免疫效应分子	免疫エフェクター分子
免疫效应器	免疫エフェクター
免疫状态	免疫状態
免疫调节	免疫調節
免疫调节机	免疫調節機
免疫调节机制	免疫調節機序
兔	ウサギ
入射	入射
入射角	入射角
入射角条件	入射角条件
全	フルだ
全员	全員
全文本	フルだテキスト
全文本搜索引擎	フルだテキスト検索エンジン
全文本检索	フルだテキスト検索
全部	全て
全部强	全て強い
全部强不稳定	全て強い不安定だ
全部强不稳定条件	全て強い不安定だ条件
公司	する会社	会社
公园	公園
公布	公表
公布文献	公表文献
公式	公式	式
共同	共	共同
共同景观	共通だ景観
共同景观格局	共通だ景観パターン
共同景观格局指标	共通だ景観パターン指標
共同的	共通の
共同设计	共同設計
共同设计最优	共同設計最適だ
共聚焦	共焦点
共聚焦显微	共焦点顕微
共聚焦显微镜	共焦点顕微鏡
共识	コンセンサス
共谋	共謀	共謀する
共谋许可	共謀するライセンス
关于	つく	関す
关于包括	関す包括
关于大量	関する大量だの
关于室外	つく屋外
关于节能	関する省エネルギー
关于表达	つく表現	つく表現する
关心	関心
关注	注目	注目さ
关系	係わる	関係	関係する
关系主要	係わる主要だ
关系指数	関係指数
关联	関連づける
关键	キー
关键单元	キーユニット
关键单元组	キーユニットセット
关闭	オフ	閉鎖
关闭网格	オフグリッド
关闭网格风	オフグリッド風
关闭网格风输出产业	オフグリッド風出力産業
关闭输出基础网格风	オフグリッド風出力基盤
关闭输出开发网格风	オフグリッド風出力開発
关闭输出网格风	オフグリッド風出力
其中	そのうち
其他	その他	他
其次	次に
其次关键单元组	次にキーユニットセット
其次增加	次に増加	次に増加する
其次序列	次に配列
其次序列分析	次に配列解析	次に配列解析する
其次接触	次に接触
其次接触比率	次に接触比率
其次综合	次に総合
其次缓慢	次にゆっくり
其次缓慢减少	次にゆっくり減
其次键	次にキー
其次键单元	次にキーユニット
具体	具体
具备扫描	備える走査
具备扫描电子	備える走査電子
具备扫描电子显微	備える走査電子顕微
具备扫描电子显微镜	備える走査電子顕微鏡
具有	もつ
具有变更	有する変更
具有对	もつ対
具有对于LDPE	もつLDPE
具有对于LDPE膜	もつLDPE膜
具有的Bi	有するBi
具有石墨层	もつ黒鉛層
具有类似有机物质	有する類似有機物質
具有网络	もつネットワーク
具有网络控制	もつネットワークコントロール
具有网络控制系统	もつネットワークコントロールシステム
具有能够持久耐用品	有する長続きする耐久財
具有黑铅	もつ黒鉛
典型	典型
内侧	内側
内侧转弯流路	ターン流路内側
内外	内外
内容	コンテンツ
内涵	内包
内科	内科
内科疗法	内科療法
内窥镜	内視鏡
内膜	内膜	内膜症
内膜上皮	内膜上皮
内膜上皮细胞	内膜上皮細胞
内膜症患者	内膜症患者
内膜细胞	内膜細胞
内膜细胞凋亡	内膜細胞アポトーシス
内部	インター	内部
内部构成	内部構成
内部构成辅助	内部構成補助
内部构成辅助物	内部構成補助物
再现	再現
再现性能	再現性能
再现的	する再現
再生	再生
再生的	再生する
军事	軍事
军队	軍隊
农业	農業
农业防治	農業退治
冲击	衝撃
冲击声辐射	衝撃音響放射
冲击声辐射信号	衝撃音響放射信号
冲击实验	衝撃実験
冲击音响	衝撃音響
决定	決める	決定	決定さ	決定する	用いる決定
决定着	着る決定
冶金	冶金
冶金行业	冶金業
冷却	冷却	冷却流
冷却变态	冷却変態
冷却板	板冷却
冷却水流	冷却水流
冷却水流量	冷却水流量
冷却流路	冷却流路
冷却策略	冷却戦略
冷却路径控制	冷却流路制御
冷却路径控制方式	冷却流路制御方式
冷却路径管理	冷却流路管理
冷却过程	冷却過程
冷空气	寒気
冷锋	寒冷だ前線
准备	準備	準備する
准确	正確だ
凋亡	アポトーシス
凋亡相关	アポトーシス関連
凋亡相关机制	アポトーシス関連機構
凋亡相关蛋白	アポトーシス関連タンパク	アポトーシス関連タンパク質
凋亡程度	アポトーシス度
凋亡细胞	アポトーシス細胞
减少	より減少	分減少	減	減らす	減少	減少さ	減少し	減少する
减少减弱	減少する弱まる
减弱	弱まる
减弱的	する弱まる
减排	排出削減
减法	減算
减法运算	減算する
减轻	軽減	軽減する
凝固	凝固
凝固变换	凝固変換
凝固试验	凝固試験
几乎	ほとんど	ほぼ
几乎相同	ほぼ同一だ
几何	幾何
出	出す
出现	出現	現れる
出血	出血
出血热	出血熱
出院	退院	退院する
出院在SAP	退院するSAP
函子	クター
函数	関数
函数因子	関数因子
函数峰值	関数ピーク
函数条件	関数条件
函数边界	関数境界
函数边界条件	関数境界条件
刀片	ブレード
刀片流动	ブレード流
刀片流路	ブレード流路
刀片流路内侧	ブレード流路内側
分	分
分光	分光
分光光度	分光光度
分光光度法	分光光度法
分减少	分減少する
分别	それぞれ	別々だの	別だ
分别分析	別だ分析	別だ分析する
分别评价	それぞれ評価	それぞれ評価さ
分别静脉	それぞれ静脈
分割	分割	分割さ	分割する	割り当てる
分割处理	分割する処理	分割する処理する
分割法	分割法
分子	分子
分子机制	分子機構
分子标记	分子標識
分子标记在HSP	分子標識HSP
分子流行病学	分子疫学
分子流行病学分析	分子疫学分析
分子硫酸	分子硫酸
分子种	分子種
分布	分布
分布模式	分布パターン
分开	分ける
分式	分式
分散	分散
分散X射线	分散X線
分散X射线分	分散X線分
分散X射线分光	分散X線分光
分散X射线分光分析	分散X線分光分析
分散信息	分散情報
分散信息整合	分散情報統合
分散信息综合平台	分散情報統合プラットフォーム
分散效果	分散効果
分数	分数
分数常	分数常
分数常微分	分数常微分
分数常微分方程	分数常微分方程式
分析	つく解析	つく解析する	より分析	より分析する	分析	分析する	解析	解析する	量解析
分析仪器	分析機器
分析数据	解析データ
分析模型	解析モデル
分析法	分析法	解析法
分离	よる分離	分離	分離する	単離	単離する	離れる
分离方式	よる分離方式	分離方式
分离的	分離する
分离纯化	分離精製
分离翼	分離する翼
分类	分類	分類さ
