A B	AB
电流	電流
电源管理半导体	パワーマネージメント半導体
电磁	電磁
电磁感应法	電磁誘導法
电磁诱导	電磁誘導
电荷	おける電荷	荷	電荷
电荷移动	おける電荷移動	荷移動	電荷移動
电荷转移过程	おける電荷移動過程	荷移動過程	電荷移動過程
电荷量	電荷量
电路	回路
电阻剖面	抵抗プロフィール
画	画
界限	限界
界面	界	界面
界面活性	界面活性
界面矩阵	界面マトリックス
畜牧	牧畜
畜牧业	牧畜業
畸变	ゆがむ
疏水	疎水
疑似	疑似
疑似目标	疑似ターゲット
疑问	疑問
疗法	療法
疫苗	ワクチン
疼痛	痛む
疼痛情况	痛むこと
疾病	疾患	疾病	病気
疾病原因	疾病原因
疾病预防	疾病予防
疾病预防控制中心	疾病予防管理センター
疾病预防管理	疾病予防管理
痂	かさぶた
病	病
病原	病原
病变	病変
病变大鼠	病変ラット
病变大鼠模型	病変ラットモデル
病害	病害
病情	病状
病毒	ウィルス	ウイルス
病毒NS	ウィルスNS
病理	病理
症	症
症候	症候
症状	症状
癌	癌
癌发生	癌発生
癌症对照	癌対照
癌症患者	癌患者
癌症风险	癌リスク
登录	登録する
登记	登録
白	白
白斑	白斑
白斑病	白斑症
白癜风患者	白斑症患者
白色	白色
白蚁	シロヒトリ
皂苷	サポニン
的	いう	おける	さ	する	せ	な	なる	よる	機嫌
的AC	するAC
的AC电力	するAC電力
的AC电力基础	するAC電力ベース
的BSR	おけるBSR
的DNA阳性	DNA陽性だ
的Km	Km
的LNG	LNG
的Rand	よるRand
的SNP	SNP
的SO	するSO
的SSCP	SSCP
的SS浓度	おけるSS濃度
的TG曲线	TG曲線
的XUL	おけるXUL
的价格	する価格
的传送	する伝送
的传送速度	する伝送速度
的体腔	する体腔
的体腔细胞	する体腔細胞
的体腔细胞培养条件	する体腔細胞培養条件
的修理	する修理
的公园	よる公園
的再现性能	する再現性能
的初级实验组	おけるプライマリ実験群
的前馈	くフィードフォワード
的壁面函数边界条件	する壁面関数境界条件
的复杂系统	する複雑だ系
的外来	する外来
的外来遗传基因	する外来遺伝子
的外来遗传基因源	する外来遺伝子源
的大豆	おける大豆
的大豆异黄酮	おける大豆イソフラボン
的大量挥发	おける大量だ揮発
的大量挥发物	おける大量だ揮発物
的容量	する容量
的对于LDPE	するLDPE
的对于LDPE膜	するLDPE膜
的对于LDPE膜表面	するLDPE膜表面
的幼体	する幼生
的数据集	するデータセット
的文献	おける文献
的方案	する案
的最大的SS	おける最大だSS
的服务	よるサービス
的服务设备	よるサービス設備
的正交构成方程	よる直交構成方程式
的正确方法	する正確だ方法
的歪斜	する歪む
的歪斜波形	する歪む波形
的淤泥	おけるスラッジ
的渔业	おける漁業
的渔业资源	おける漁業資源
的渔民	する漁民
的烟幕	する煙幕
的电力	おける電力
的电力运行	おける電力運転
的电力运行点	おける電力運転ポイント
的监理	おける監理
的翼	する翼
的肾虚	おける腎虚
的能力	おける力
的膨胀石墨	おける膨張黒鉛
的节水	おける節水
的节水灌溉	おける節水潅漑
的计算	するコンピューティング
的财政	する財政
的进一步	関するさらだ
的进一步研究	関するさらだ研究
的违法	よる違法だ
的逆	する逆だ
的逆人工	する逆だ人工
的逆人工开口	する逆だ人工開口	する逆だ人工開口部
的量	おける量
的量子	おける量子
的量子比特	おける量子ビット
的雷暴	おける雷雨
的风扇	おけるファン
的风扇性能	おけるファン性能
的风机性能试验	おけるファン性能試験
的骨折	する骨折
的高斯	するGaussian
的高斯指纹	するGaussianフィンガー	するGaussianフィンガープリント
皮	皮
皮下	皮下
皮下结	皮下結
皮下结节	皮下結節
皮层	皮層
皮层模型	皮層モデル
皮带	ベルト
皮肤	皮膚
盐	塩
盐城	塩城
盐城市	塩城市
盐培养基	塩培地
监控	モニタ
监测方法	モニタ手法
监理	監理
监理担当	監理担当
监理担当的	おける監理担当
监督	監督
盛京	盛京
盛京医院	盛京病院
目录分析	コンテンツ分析
目标	ターゲット	目標
目标函数	目的関数
目标检测	目標検出
目的	目的
盲	ブラインド	盲
盲速度	ブラインド速度
直径	径	直径
直接	直接	直接だ
直接PCR技术	直接PCR
直接PCR碱基序列	直接PCR塩基配列
直接PCR碱基序列测定	直接PCR塩基配列決定
直接一样实验	直接一様だ実験
直接一致	直接一様だ
直接原因	直接だ理由
直接原因引起	起す直接だ理由
直接培养	直接培養	直接培養する
直接培养体腔	直接培養する体腔
直接培养体腔细胞	直接培養する体腔細胞
直接引起	起す直接だの
直接总计	直接総計
直接扩增碱基	直接PCR塩基
直接提供	直接だ提供	直接だ提供する
直接的	直接の
直线	直線
直觉	直感
直面	直面	直面する
相	相
相乘	相乗
相乘效果效率	相乗効果効率
相乘效率	相乗効率
相乘效率提高	相乗効率向上
相乘系统	相乗システム
相乘系统基础	相乗システム基盤
相互	相互
相介质	相媒質
相介质模型	相媒質モデル
相介质理论	相媒質理論
相似性	相性
相位	位相
相位修正	位相補正
相位几何	位相幾何
相位参数	位相パラメータ
相位参数的	する位相パラメータ
相位幅度	相バンド幅
相位的	する位相
相位角	位相角
相位角位移	位相角シフト
相位角偏移调节	位相角シフト調節
相关	する相関	相関	相関す	関する	関する関連	関連	関連する
相关免疫	する相関免疫	相関免疫
相关免疫效应	する相関免疫エフェクター	相関免疫エフェクター
相关免疫效应分子	する相関免疫エフェクター分子	相関免疫エフェクター分子
相关关系	相関関係
相关因素	関する関連要因	関連要因
相关大量资源	関する大量だ資源
相关实证	関する実証
相关巨大	関する巨大だ
相关市场	関する市場
相关市场容量	関する市場容量
相关技术	関する技術
相关整合	関連統合
相关机制	関連機構
相关点	相関点
相关生活质量	関連クオリティオブライフ
相关疾病	関する疾病
相关疾病原因	関する疾病原因
相关的	関連する
相关的工作	関連する仕事
相关相	関する相
相关省	関する省
相关积	相関積
相关空	関する空
相关空力	関する空力
相关空力设计	関する空力設計
相关算法	相関アルゴリズム
相关系数	相関係数
相关良好	関する良い
相关良好基础	関する良い基礎
相关蛋白	関連タンパク
相关蛋白质	関連タンパク質
相关银杏	関するイチョウ
相关银杏叶	関するイチョウ葉
相关银杏叶提取物	関するイチョウ葉エキス
相关风	関する風
相反	反対だ
相反的	反対の
相各向异性	相異方性
相各向异性介质	相異方性媒質
相同	同じだ	同一だ
相同内容	同じだコンテンツ
相同基因	同じだ遺伝子
相同妊娠	同じだ妊娠
相同条件	同じだ条件
相同水平	同じだレベル
相同相位	同じだ位相
相同相位几何	同じだ位相幾何
相同知觉	同じだ知覚
相对	対す	相対
相对变化	対すバリエーション
相对含量	相対含量
相对回收	相対回収
相对带宽	相対帯域	相対帯域幅
相对标准	相対標準
相对标准偏差	相対標準偏	相対標準偏差
相对结晶	相対結晶
相对结晶度	相対結晶度
相带	相バンド
相应序列分析	応じるシーケンス分析
相应的	相応しい
相应的实验结果	対応する実験結果
相异	相違
相当	かなり
相当上升	かなり上昇	かなり上昇する
相比	比べる
相结构	相構造
相转换	相変換
相还原	相還元
相还原法	相還元法
省	省
看	見る
看Bi	よるBi
看见	見える	見る
真	真
真实有效的	真実だ
真空	真空
真空烘箱	真空オーブン
着	着る
着流程	着る流れる
着眼	着眼
着眼于	着眼する
瞄准	照準
知觉	知覚
知识	知的だ	知識
知识产生网络	知的だ創生ネットワーク
知识创造	知的だ創	知的だ創生
知识系统	知識システム
知识规模	知識規模
矩阵	マトリックス
矩阵不等式	マトリックス不等式
石	石
石台	石台
石墨层	黒鉛層
石灰	石灰
砂	砂
砂土	土砂
砂搬运	砂運搬
砂搬运能力	砂運搬能力
研究	する研究	する研究する	つく研究	つく研究する	なる研究	よって研究	より研究	研究	研究さ	研究する	関する研究
研究了	よって研究する
研究促进	研究促進
研究对象	研究対象
研究开发	研究開発	関する研究開発
研究母	研究母
研究母集团	研究母集団
研究母集团评分	研究母集団評	研究母集団評点
研究现状	研究現状
研究结果	研究結果
研究风景	研究風景
研究风景指标	研究風景指標
破坏	破壊	破壊さ
破损	破損
破损下部	破損下部
破损下部结构	破損下部構造
破损位置	破損位置
破损构成	破損構成
破损构成要素	破損構成要素
破水	破水
破碎	破砕
破裂	破る
破解	おける解
硅橡胶	シリコーンゴム
硅橡胶复合	シリコーンゴム複合
硅橡胶复合绝缘	シリコーンゴム複合絶縁
硅橡胶复合绝缘物	シリコーンゴム複合絶縁物
硅胶	シリコーン
硫磺	硫黄
硫酸	硫酸
硫酸盐	硫酸塩
硬件	ハードウェア
确定	よって確定	よって確立さ	確かめる	確定	確定する
确定了	つく確かめる
确定的	よって確定する
确实	確実だ
确立	よって確立	確立さ
确立了	よって確立する
确认	確認	確認さ	確認する	認める
确认方法	確認する方法
确认试验	確認試験
确证	確証
碱基	塩基
碱基序列	塩基配列
碱基序列测定	塩基配列決定
碱处理	アルカリ処理
碱性	アルカリ
碳	炭素
碳源	炭素源
碳源利用	炭素源利用
碳源利用模式	炭素源利用パターン
碳电极	炭素電極	状炭素電極
碳酸	炭酸
碳酸饮料	炭酸飲料
磁共振	MRI
磷	リン	燐
磷灰石	燐灰石
磷脂	リン脂質
磷脂脂肪	リン脂質脂肪
磷脂脂肪酸	リン脂質脂肪酸
磷脂脂肪酸模式	リン脂質脂肪酸パターン
磷酸	リン酸
磷酸缓冲	リン酸緩衝
磷酸缓冲液	リン酸緩衝液
社	社
社交	社交
社交障碍	社交障害
社会	社会
社会模型	社会モデル
社会环境	社会環境
神经	神経
神经回路	神経回路
神经网络	ニューラルネットワーク	神経回路網
离子	イオン
离子陷阱	イオントラップ
离开	離す
离心	遠心
离心分离	遠心分離
离散	離散
离散空间	離散空間
种	種
种关系	種関係
种对	種対
种类	種類
科	科
科学	科学
科学财团	科学財団
积	積
积分	積分
积分变换	積分変換
积分方式	積分方式
积分液	積分液
积分液态水	積分液水
积分顺序	積分手順
积极	積極	長続き
积极具有	有する長続き
积极的	長続きする
积累	蓄積
移位	シフト
移位脉冲	シフトパルス
移位脉冲宽度	シフトパルス幅
移位脉宽调制	シフトパルス幅変調
移位调节	シフト調節
移位调节技术	シフト調節技術
移动	おいる移動	移動
移动游戏	移動ゲーム
移动目标	おいる移動目標	移動目標
移动目标检测	おいる移動目標検出	移動目標検出
移动过程	移動過程
稀疏	疎だ
稀疏配置	疎だ配置
稀疏配置构成	疎だ配置構成
稀疏配置系统	疎だ配置システム
稀释	希釈
程序	プログラム
程序库	ライブラリ
程序库分析	ライブラリ分析
程度	程度
税	税
稳定	より安定	より安定する	安定	安定する	定常
稳定再现	安定する再現
稳定再现性能	安定する再現性能
稳定流变	安定レオロジー
稳定流变特性	安定レオロジー特性
稳定的	安定する
空	空
空力性能实验	空力性能実験
空力性能曲线	空力性能曲線
空气	空気
空气动力	空力
空气动力性能	空力性能
空气动力性能参数	空力性能パラメータ
空气动力设计	空力設計
空气反冲洗	空気逆だ洗浄
空气反冲洗速度	空気逆だ洗浄速度
空气导弹	空気ミサイル
空气淬火	空気消火
空气灭火器	空気消火器
空气逆	空気逆だ
空气逆流	空気逆流
空气逆流清洗	空気逆流洗浄
空洞	空洞
空洞QED	空洞QED
空间	空間
空间信息	空間情報
空间信息技术	空間情報技術
空间分布	空間分布
空间变量	空間変数
空间模式	空間パターン
空间配置	空間配置
站立	立つ
竞争	競争
竞争力	競争力
竞争状态	競争状態
端	端
端粒酶	テロメラーゼ
端粒酶催化	テロメラーゼ触媒
端粒酶催化亚基	テロメラーゼ触媒サブユニット
笔者	筆者
等价性	等価性
等位基因频率	対立遺伝子頻度
等位基因频率分布	対立遺伝子頻度分布
等级	グレード	等級
筛选	スクリーニング
简单	単純だ	簡単だ
简单得到	簡単だ得る
简单直觉	簡単だ直感
简单积分	簡単だ積分
简单积分方式	簡単だ積分方式
简称	略称
算法	アルゴリズム
管	パイプ
管理	マネージメント	管理
管理中心	管理センター
管理半导体	マネージメント半導体
管理局	管理局
管理系统	管理システム
管道	パイプライン
箱	箱
簇梯度	クラスター勾配
米尔模型	シュルモデル
类	クラス	類
类似	類似
类似有机	類似有機
类似有机物质	類似有機物質
类型	タイプ	型
类型断面	タイプ断面
类型断面几何	タイプ断面幾何
类癌	カルチノイド
粉末	粉末
粒	粒
粒子	パーティクル	粒子
粒子群系统最优	パーティクルスウォーム最適だ
粒子群计算法	パーティクルスウォーム
粒度	粒度
粒径	粒径
粘度	粘度
粘性	粘性
粘性底流	粘性底流
粘性底流层	粘性底流層
粘着	接着
粘贴	ペースト
精制	精製	精製する
精密	精密だ
精密带材	精密だストリップ
精密带线路	精密だストリップ線路
精密带线路束流位置	精密だストリップ線路ビーム位置
精密带线路束流位置监测	精密だストリップ線路ビーム位置モニタ
精密带线路梁	精密だストリップ線路ビーム
精度	決める精度	精度
精神	元気だ	精神
精神运动	元気だ動く
精神障碍	精神障害
精致	精緻だ
系数	係数
系统	する系統	システム	系	系統
系统乳油	系統EC
系统基础	システム基盤
系统树	系統樹
系统测试	システムテスト
系统现象	システム現象
系统进化树分析	系統樹分析
系茶	系茶
紊乱	乱れる
紊乱衰减	乱れる減衰
紊乱衰减水平	乱れる減衰レベル
索引	索引
索引文件	索引ファイル
紧密	ぴったり
紫	紫
紫外	紫外
紫外吸收	紫外吸収
紫外吸收光谱	紫外吸収スペクトル
紫外线	紫外線
紫外线分	紫外線分
紫外线分光	紫外線分光
紫外线分光光度	紫外線分光光度
紫外线分光光度法	紫外線分光光度法
累积	累積
累积损伤	累積損傷
累积损伤等级	累積損傷等級
絮凝剂添加系统	凝集剤添加系
红	赤
红外	赤外	IR
纤毛	シュル
约束	制約	拘束
约束的	拘束する
级联	カスケード
纯度	純度
纹理	く
纹理前馈神经回路	くフィードフォワード神経回路
纹理前馈神经网络	くフィードフォワード神経回路網
纺织复合	織物複合
纺织复合材料	織物複合材料
线	線
线圈	コイル	巻線
线性	線形
线性滤波器	線形フィルタ
线性矩阵	線形マトリックス
线性矩阵不等式	線形マトリックス不等式
线性结盟	線形結託
线性结盟攻击	線形結託攻撃
线性结盟攻击方式	線形結託攻撃方式
线路	ライン	線路
线路光束	線路ビーム
线路方程	ライン方程式
线路束流位置	線路ビーム位置
线路束流位置监测	線路ビーム位置モニタ
线路次	線路BPM
组	グループ	組
组合	コンビネーション	組む	組む込む	組み合わす	組み合わせる	組合す	組合せる	組合わせる
组合ONU	組み合わせるONU
组合创新	組合せる革新
组合数字	組み合わせるデジタル
组合数字指纹	組み合わせるデジタルフィンガー	組み合わせるデジタルフィンガープリント
组合数字指纹图谱	組み合わせるデジタルフィンガープリント法
组合说明	組み合わせる説明	組み合わせる説明する
组成	組成
组研究	グループ研究
组织	組織
组装	組み立てる
细	細い
细孔钛	細孔チタン
细孔钛酸	細孔チタン酸
细孔钛酸钠	細孔チタン酸ナトリウム
细微	微細だ
细微乳	細いミクロ乳
细微乳头	細いミクロ乳頭
细微观	細いミクロ
细胞	細胞
细胞凋亡	おけるアポトーシス	細胞アポトーシス
细胞凋亡程度	おけるアポトーシス度
细胞原	細胞原
细胞培养	細胞培養
细胞培养条件	細胞培養条件
细胞容积	細胞容積
细胞容积浓度	細胞容積濃度
细胞悬浮	細胞懸濁
细胞悬浮液	細胞懸濁液
细胞活力	細胞活力
细胞测量	細胞計測
细胞测量法	細胞計測法
细胞生理	細胞生理
细胞癌	細胞癌
细胞结构	細胞構造
细胞质	細胞質
细胞质膜	細胞原形質膜
细胞质膜渗透	細胞原形質膜透過
细胞遗传	細胞遺伝
细胞遗传现象	細胞遺伝現象
织物	織物
织物地区	織物地区
终极	究極
终止	終了
经常	常に
经常药物	しばしば薬物
经济	経済
经济开发	経済開発
经过	わたる
经过复杂	わたる複雑だ
经过复杂共同设计优化	わたる複雑だ共同設計最適だ
经过复杂协同设计	わたる複雑だ共同設計
经过设计	わたる設計
经过设计最优	わたる設計最適だ
结	結
结合	結合	結合さ
结合实验	結合する実験
结合实验室	結合する実験室	結合する実験室スケール
结合的	結合する
结合逆	結合する逆だ
结合逆人工	結合する逆だ人工
结合逆人工开口	結合する逆だ人工開口	結合する逆だ人工開口部
结晶大小	結晶サイズ
结晶度	結晶度
结构	構造
结构变换	構造変換
结构方程	構成方程式
结构系统	構造系
结构鉴定	構造同定
结果	結果
结果预测	結果予測
结盟	結託
结盟攻击	結託攻撃
结盟攻击方式	結託攻撃方式
结节	結節	結節合併
结节合并疼痛	結節合併痛む
结论	結論
结语	結語
绘制	レンダリング
给与	与える
给与算法	与えるアルゴリズム
络合物生成	錯体生成だ
绝对	絶対
绝对值	絶対値
绝缘	絶縁
绝缘物	絶縁物
统一实验	一様だ実験
统治	統治
统治指标	統治指標
统治状况	統治状況
统治状态	統治状態
统治评价	統治評価
统治评价系统	統治評価システム
维分布	次元分布
维动态发烟	次元動的だ発煙
维动态发烟仿真	次元動的だ発煙シミュレーション
维护	メインテナンス
维护计算	メインテナンス計算
维护计算量	メインテナンス計算量
维抽取试验	次元抽出試験
维持	維持	維持さ	維持する
维持策略	維持する戦略
维提取	次元抽出
维数	次元
维数动态	次元動的だ
维软件	次元ソフトウェア
维软件包	次元ソフトウェアパッケージ
综合	統合	総合
综合信息	統合情報
综合平台	統合プラットフォーム
综合症	症候群
综合评分	総合スコア
综合试验	総合試験
综合试验评价	総合試験評価
缓冲	緩衝
缓冲液	緩衝液
缓慢	ゆっくり
缓慢减少	ゆっくり減
编码	コード
缩小	縮小	縮小する
缺乏	欠乏	欠如	欠如する
缺点	欠点
缺血	虚血
网格	グリッド
网格风	グリッド風
网格风输出	グリッド風出力
网格风输出产业	グリッド風出力産業
网格风输出基础	グリッド風出力基盤
网格风输出开发	グリッド風出力開発
网络	ネット	ネットワーク	回路網	網
网络单元	ネットワークユニット
网络应用	回路網適用	網適用
网络控制	ネットワークコントロール
网络控制系统	ネットワークコントロールシステム
罗拉克	ロアーク
置换	置換
羊水	羊水
羊水正常	羊水正常だの
羊水正常单	羊水正常だ単
羊水过少	羊水過少だ
羊水过少组	羊水過少だグループ
美国	アメリカ
美国国家	アメリカ国立
美国国家科学	アメリカ国立科学
美国国家科学基金会	アメリカ国立科学財団
美国白蛾	アメリカシロヒトリ
羟基	ヒドロキシ
羟基安息	ヒドロキシ安息
羟基安息香	ヒドロキシ安息香
羟基苯甲酸	ヒドロキシ安息香酸
羟基苯甲酸酯	ヒドロキシ安息香酸エステル
群	群
群体	群れる
群落	群落
群落交叉平坦DNA杂交	群集平らだDNAクロスハイブリダイゼーション
群集	群集
群集平	群集平らだ
群集平坦DNA	群集平らだDNA
群集平坦的DNA交叉	群集平らだDNAクロス
翻转	ターン
翼	翼
翼偏向角度	翼偏向角度
老年	老年
考察	考察	考察する
考察了	考察する
考虑	する考える	考える	考慮	考慮する
考虑壁面	考慮する壁面
考虑壁面函数	考慮する壁面関数
考虑壁面函数边界	考慮する壁面関数境界
考虑壁面函数边界条件	考慮する壁面関数境界条件
耐久	耐久
耐久的	する耐久
耐用品	耐久財
耦合	役
职务	職務
职责	責務
聚乙烯	ポリエチレン
聚光	集光
聚光器	集光器
聚合酶链反应	PCR
聚合酶链反应定量	PCR定量
聚焦显微镜	焦点顕微鏡
聚类分析	クラスタ分析
聚集	凝集	集まる
肉	肉
肋骨	肋骨
肋骨骨折	肋骨骨折
肋骨骨折患者	肋骨骨折患者
肌肤	肌
肝炎	肝炎
肝炎患者	肝炎患者
肝脏	する肝臓	肝臓
肝脏损伤	損傷する肝臓
肠	腸
肠杆菌	エンテ	エンテロバ	エンテロバクター
肠杆菌属	エンテロバクター属
肠杆菌属反复	エンテロバクター属反復
肠杆菌属反复基因	エンテロバクター属反復遺伝子
肩	肩
肯尼亚	ケニア
肾功能	腎機能
肾损害	腎臓障害	腎障害
肾病	腎症
肾病综合	腎症候
肾脏	腎臓
肾脏基因	腎臓遺伝子
肾脏基因表达	腎臓遺伝子発現
肾脏基因表达剖面	腎臓遺伝子発現プロフィール
肾虚	腎虚
肾虚血	腎虚血
肾虚血的	おける腎虚血
肿瘤	腫瘍	腫瘤
肿瘤坏死	腫瘍壊死
肿瘤坏死因子	腫瘍壊死因子	TNF
胃	胃
胃炎	胃炎
胃炎大鼠	胃炎ラット
胃癌	胃癌
胃癌发生	胃癌発生
胃癌患者	胃癌患者
胃癌风险	胃癌リスク
胆汁	胆汁
胆汁类癌	胆汁カルチノイド
胆红素	ビリルビン
背景	背景
背景注入	背景注入
背部	背中
胚胎	いい
胞嘧啶	シトシン
胰腺炎	膵炎
胸部	胸部
胸部创伤	胸部創	胸部創傷
胸部外科	胸部外科
胸部外科手术	胸部外科手術
胸部手术	胸部手術
能	できる
能力	能	能力
能够持久有	有する長続きする
能够持久耐久	長続きする耐久
能够持久耐用品	長続きする耐久財
能检测	検出できる
能源	エネルギー源
能量	エネルギ	エネルギー
能量分散	エネルギー分散
能量分散X射线	エネルギー分散X線
能量分散X射线分	エネルギー分散X線分
能量分散X射线分光	エネルギー分散X線分光
能量分散X射线分光分析	エネルギー分散X線分光分析
能量多	エネルギー多
能量汇集	エネルギー集約
能量消耗	エネルギー多消費
脂肪	脂肪
脂肪乳	脂肪乳
脂肪酸	脂肪酸
脂肪酸模式	脂肪酸パターン
脂质	脂質
脂质脂肪	脂質脂肪
脂质脂肪酸	脂質脂肪酸
脂质脂肪酸模式	脂質脂肪酸パターン
脉冲	パルス
脉冲宽度	パルス幅
脉冲宽度调制	パルス幅変調
脱	脱
脱氧核糖核酸	DNA
脱附	脱着
脱附决定	脱着決定
脱附流程	脱着る流れる
腐蚀	腐食
腹	腹
腹膜	腹膜
膜	膜
膜浓缩	膜濃縮
膜浓缩技术	膜濃縮技術
膜清洗	膜洗浄
膜电阻	膜抵抗
膜表面	膜表面
膨胀	膨張
膨胀剂	膨張剤
膨胀方法	膨張方法
膨胀的	おける膨張
膨胀石墨	膨張黒鉛
自动	自動
自动映射	自動マッピング
自动映射程序	自動マッピングプログラム
自动设计	自動設計	自動設計さ
自定义逻辑	カスタムロジック
自定义逻辑模块	カスタムロジックモジュール
自尊	プライド
自己	自分
自我	自己
自我传播	自己伝搬
自我传播高温	自己伝搬高温
自我传播高温合成	自己伝搬高温合成
自我体像	ボディーイメージ障害自己
自我评价	自己評価
自我调节	自己調節
自我身体	自己身体
自控静脉	自己調節静脈
自控静脉镇痛	自己調節静脈鎮痛
自然	ナチュラルだ	自然
自然杀伤	ナチュラルだキラー
自然界	自然界
自然释放	自然放出
自由	自由だ
自由电子	自由だ電子
自由电子密度	自由だ電子密度
自觉	自覚	自覚する
自评量表	自己評価スケール
自身免疫	自己免疫
自身免疫状态	自己免疫状態
自适应处理	適応処理
致死	致死
致死浓度	致死濃度
良好	良い	良く	良好だ
良好一致	良く一致する
良好基础	良い基礎
良好延伸	良い延伸
良好拉伸状态调子	良い延伸状態調子
良好指标	良好だ指標
良好效果	良い効果
良好的	良好だ
良好的再现	良好だ再現
良好的延伸状态	良い延伸状態
良好的稳定	良好だ安定	良好だ安定する
良好的识别	良好だ認識
良好的识别性能	良好だ認識性能
良好稳定	良好だ安定	良好だ安定する
良好稳定的再现	良好だ安定する再現
良好稳定的再现性能	良好だ安定する再現性能
色调	色調
节	節
节水	節水
节水灌溉	節水潅漑
节点合并	節合併
节点合并疼痛	節合併痛む
节省能源	省エネルギー
芯片	チップ
芯片组	チップセット
花费	かから
芳烃	アレーン
芳烃修饰	アレーン修飾
芳烃修饰玻璃	アレーン修飾ガラス
芳烃修饰玻璃状	アレーン修飾ガラス状
芳烃修饰玻璃状碳	アレーン修飾ガラス状炭素
芳烃修饰玻碳电极	アレーン修飾ガラス状炭素電極
苦瓜	ニガウリ
苯甲酸	安息香酸
苯甲酸酯	安息香酸エステル
范围	レンジ	範囲
范数	ノルム
茎	茎
茎树液	茎樹液
茎树液流动	茎樹液流
茶	茶
茶园	茶園
荧光	蛍光
荧光原	蛍光原
荧光原位	蛍光原位置
荧光原位杂交	蛍光原位置ハイブリッド	蛍光原位置ハイブリッド形成
荫罩	バウアー
药	薬
药物	薬物
药物抵抗	薬物抵抗
药物抵抗剖面	薬物抵抗プロフィール
药症状	薬症状
药综合症	薬症候	薬症候群
莲	ハス
