A B	AB
莲叶	ハス葉
获得	する得る	よって獲得	得る	獲得	獲得する
获得的	よって獲得する
菌	菌
菌株	菌株
菌类型	菌タイプ
菲	フェナントレン
菲的	するフェナントレン
萎缩	萎縮
著作	著書
葡萄	ブドウ
蒸汽雾	水蒸気霧
蒸腾	蒸散
蒸腾速率	蒸散速度
蔬菜	野菜
虚	虚
虚拟现实	仮想現実
虫	虫
虫体	虫体
蚕豆	ソラマメ
蛋氨酸	メチオニン
蛋白	タンパク	蛋白
蛋白质	タンパク質	蛋白質
蛋白质溶液	蛋白質溶液
蛋白质表面	蛋白質表面
蛋白酶	プロテアーゼ
蛋白酶抑制	プロテアーゼ阻害
蛋白酶抑制剂	プロテアーゼ阻害薬
蛋糕	ケーキ
蜂窝织炎	蜂巣炎
血	血
血标本	血サンプル
血清	血清
血清浓度	血清濃度
行CAG的	よるCAG
行为	挙動
衍射	回折
补偿	補償
补充	補完
补充线性	補完線形
表	表
表现	所見	表現	表現する
表示	表す
表示系统	表す系統
表达	発現
表达剖面	発現プロフィール
表面	よる表面	表面
表面处理	表面処理
表面处理水果	表面処理果物
表面张力	表面張	表面張力
表面摩擦	面摩擦
表面活性	表面活性	面活性
表面活性剂	界面活性剤	表面活性剤	面活性剤
表面积	表面積
表面质量	質表面
衰减	減衰
衰减性能	減衰性能
衰减效果	減衰効果
衰减水平	減衰レベル
袋	バッグ
被动	受動
被动光	受動光
裂纹	ひび割れる
装置	装置
西	西
西南	南西
西南射流	南西ジェット
西县	西県
要求	求める	要求	関する要求
要求条件	要求条件	関する要求条件
要点	要所	要点
要点要素	要所要素
要素	要素
要素基础	要素ベース
要素法	要素法
覆盖	被覆
见	見る	見つかる
观光	観光
观光参与度	観光関与度
观光发展	観光発展
观光影响	観光影響
观光相关	観光関与
观光路线	観光ルート
观察	観察	観察さ	観る察す	観察する
观察员	オブザーバー
观察镜	鏡観察
观测	観測	観測さ
观点	観点
规则	規則
规定	よって規定	定める	規定	規定さ	規定する
规定下	規定する下
规定的	よって規定する
规定的下	よって規定する下
规模	規模
规模适应性	規模適応
视觉	ビジュアルだ	対す視覚	視覚
视觉效果	ビジュアルだエフェクト
角	角
角位移	角シフト
角位移调节	角シフト調節
角度	角度
角条件	角条件
解	解
解决	解く	解決	解決する
解决方法	解決法
解剖	解剖
解法	解法
解法顺序	解法手順
解离	解離
解释	解釈
计	計
计划	計画
计划目标	計画目標
计时	計時
计时结果	計時結果
计算	する計算	する計算する	よって計算	よる計算	コンピューティング	子計算	用いる計算	用いる計算する	算定	計算	計算する
计算了	よって計算する
计算修理	計算する修理
计算数据	計算データ
计算方法	計算方法
计算机	コンピュータ	機
计算流体	計算流体
计算流体力学	計算流体力学
计算的	よって計算する
计算相位	計算する位相
计算相位参数	計算する位相パラメータ
计算结构	計算構造
计算结果	計算結果
计算量	計算量
认可	容認	認可
认可利用	認可利用
讨论	つく議論	つく議論する	検討する	議論	議論する
讨论了	議論する
训练	訓練	訓練する
训练收敛	訓練収束
议论	議
记录	記録	記録する
记忆	記銘
记忆领域	記銘領域
记载	記載	記載する
记述	記述する
许可	ライセンス
许可的	するライセンス	よるライセンス
许可策略	ライセンス戦略
论	論
论文	論文
论研究	論研究
设备	設備
设定	する設定	する設定する	設定	設定する
设定条件	設定条件
设置	する設置	する設置する	設ける	設置	設置する
设置容量	する設置する容量	設置する容量
设置无机	設ける無機
设置无机盐	設ける無機塩
设置无机盐培养基	設ける無機塩培地
设计	デザイン	設計	設計さ	設計する
设计参数	設計パラメータ
设计开发	設計する開発	設計する開発する
设计方案	設計案
设计方法	設計方法
设计最优	設計最適だ
设计的	設計する
设计轴	設計軸
设计轴流	設計軸流
设计轴流式风扇	設計軸流ファン
证	証
证据	証拠
证明	確証する	立証	証明	証明さ	証明する
评价	する評価	する評価する	より評価	レビューさ	評価	評価さ	評価する
评价了	より評価する
评价尺度	評価スケール
评价指标	評価指標
评价数据集	評価するデータセット
评价方法	評価法
评价的数据集	より評価するデータセット
评价系统	評価システム
评分	スコア	評	評点
评论	レビューする
识别	認識	認識する	識別
识别作用	識別作用
识别性能	認識性能
识别方法	識別方法
识别结果	識別結果
识别速度	識別速度
诊察	診察
诊断	診断	診断さ
诊疗	診療
诊疗进展	診療進展
词语	語
试剂	試薬
试料	試料
试行	試行
试验	試験	試験さ	試験する
试验方法	試験方法
试验法	試験法
试验结果	試行結果	試験結果
试验评价	試験評価
话题	トピック
详细	詳細だ
详细调查	詳細だ調べる
语言	する言語	言語
诱发	よって誘発	よって誘発さ	誘発	誘発さ	誘発する	誘起
诱发电位	誘起電位
诱发电位波形	誘起電位波形
诱导	誘導	誘導さ
诱导产生	よって生じる誘導	生じる誘導
诱导产生潜力	よって生じる誘導ポテンシャル	生じる誘導ポテンシャル
诱导公式	誘導式
诱导法	誘導法
诱导电位	誘導ポテンシャル
诱饵	デコイ
说明	つく説明	説明	説明する
说明了	つく説明する
说明的	説明する
调	調
调制	変調
调子	調子
调整	調整	調整する
调整开发	調整開発
调查	する調査	つく調べる	つく調査	つく調査する	より調べる	用いる調査	調べる	調査	調査さ	調査する
调查的	する調査さ
调查职务	調査職務
调节	調節
调节技术	調節技術
调节机	調節機
调节机制	調節機序
调节模式	調節モード
调节静脉	調節静脈
调节静脉镇痛	調節静脈鎮痛
贝加尔	バイカル
贝加尔湖	バイカル湖
贝叶斯	ベイジアン
贝叶斯正规	ベイジアン正規だ
贝塞尔	ベッセル
贝塞尔函数	ベッセル関数
负	負
负债	負債
负债水平	負債レベル
负担	負担
负相关	負相関
负荷	負荷
贡献	貢献	貢献する
财产	財
财团	財団
财政	財政
财源	財源
财源不足	財源不足
质树脂	質樹脂
质树脂剂	質樹脂剤
质膜	原形質膜	形質膜
质膜渗透	原形質膜透過	形質膜透過
质量	質	質量
质量分	質量分
贫乏	貧弱だ
贮藏	貯蔵
贯通	貫通
贯通过程	貫通過程
贯通速度	貫通速度
费用	料金	費用
费用补偿	費用補償
费用许可	料金ライセンス
资产	資産
资料	資料
资源	資源
资金	資金
起因	起因	起因する
起因偏	起因する偏
起因偏差	起因する偏差
起因歪斜	起因する歪む
起因歪斜波形	起因する歪む波形
起源	起原
超声波	音波
超声波检查	音波検査
超导	超伝導
超滤技术	限外ろ過技術
超滤膜	限外ろ過膜
超滤膜浓缩	限外ろ過膜濃縮
超滤膜浓缩技术	限外ろ過膜濃縮技術
超过	超える
距离	距離
距离卷	距離巻
距离感应电压	距離誘導電圧
距离感应电压波形	距離誘導電圧波形
距离线圈	距離巻線
距离诱导	距離誘導
跨复杂共同	わたる複雑だ共同
路	路
路内侧	路内側
路径	ルート
路径延迟	径路遅れる
路径控制	路制御
路径控制方式	路制御方式
路径管理	路管理
身体	身体
躯体	躯体
躯体疾病	躯体疾患
车	車
车要素	車要素
车辆检修	車オーバーホール
转	転
转向流路	ターン流路
转基因	ジェニック	トランスジェニック
转基因叶片	ジェニック葉	トランスジェニック葉
转基因杨树	ジェニックポプラ	トランスジェニックポプラ
转录	転写
转换	換える
转移	基転移	転移
转移酶	基転移酵素	転移酵素
软件	ソフト	ソフトウェア	込むソフトウェア
软件包	ソフトウェアパッケージ
软件模型	ソフトウェアモデル
软阴影	ソフト陰影
软阴影算法	ソフト陰影アルゴリズム
轴	軸
轴流	軸流
轴流叶轮	軸流インペラー
轴流式风扇	軸流ファン
轴流空气	軸流空気
轴流空气灭火	軸流空気消火
轴流空气灭火器	軸流空気消火器
轴流送风	軸流送風
轴流送风机	軸流送風機
轻微	軽微だ
较少的凝集	より少ない凝集
较弱	比較的弱い
辅助	補助
辅助物	補助物
辅助逐次	補助逐次
辅助逐次算法	補助逐次アルゴリズム
辐射信号	放射信号
辐射特性	放射特性
输入中断	インブレーク
输出	出力
输出产业	出力産業
输出产业开发	出力産業開発
输出光纤	出力ファイバ
输出光纤放大	出力ファイバ増幅
输出光纤放大器	出力ファイバ増幅器
输出基础	出力基盤
输出开发	出力開発
输出的	きれいだ出力
输出网络	出力ネットワーク
输沙	土砂輸送
输电	送電
输电权利	送電権利
输电权利交易	送電権利取引
输电权利应用	送電権利応用
输运理论	輸送理論
边界	境界
边界条件	境界条件
边界条件构建	境界条件構築
边界水域	境界水域
边界防卫	境界防衛
边缘	エッジ
辽宁	遼寧
达到	達す	達成する
达成	達成	達成さ	達成する
迅速	急速だ
迅速增加	急速だ増加
过剩	過剰だ
过剩捕捞	過剰だ漁獲
过剩生成	過剰だ生成だ
过去	過去
过少	過少だ
过少组	過少だグループ
过度	過
过氧化	過酸化
过氧化氢	過酸化水素
过滤	ろ過	外ろ過	濾過
过滤器	フィルター
过滤技术	ろ過技術	外ろ過技術
过滤特性	濾過特性
过滤系数	濾過係数
过滤膜	ろ過膜	外ろ過膜
过滤膜浓缩	ろ過膜濃縮
过滤膜浓缩技术	ろ過膜濃縮技術
过程	するプロセス	プロセス	過程
过程描述	プロセス記述
过程理论	過程理論
运动	動く	運動
运动补偿	動く補正
运动论	運動論
运动论研究	運動論研究
运行点	運転ポイント
运转	運転
运输	輸送
运输产业	輸送業
运输过程	輸送プロセス
近靶稳定	近的安定
返回技术	逆探技術
还原	還元
还原法	還元法
进一步	さらだ	さらに	よってさらに
进一步上升相当	さらにかなり上昇	さらにかなり上昇する
进一步划分	さらに分ける
进一步去除	さらに除去	さらに除去する
进一步发展	より進展
进一步增大	さらに増大
进一步实验	さらだ実験
进一步得到	さらに得る
进一步扩大	さらに増大さ
进一步研究	さらだ研究
进一步证明	さらに証明さ	よってさらに証明	よってさらに証明さ
进一步集成	さらに集積
进一步集成功率	さらに集積パワー
进一步集成功率集成电路	さらに集積パワーIC
进一步验证	さらに証明
进展	進む	進展	進展する
进展提供许可证	進むライセンス供与	進むライセンス供与する
进步	進歩
进程变量	プロセス変数
进程表达	プロセス表現
进行	行う	行く	行なう	行わ
进行了研究	より研究する
进行渔业	行う漁業
进行渔业管理	行う漁業管理
进行渔业管理局	行う漁業管理局
进行理论	つく理論
进行许可	進むライセンス
远	遠い
远方	遠方
远程	リモート
远程综合	リモート統合
远程综合信息	リモート統合情報
违法	違法だ
违法使用	違法だ使用
连接	接続
连接部分	接続部
连续	連続
连续冷却	連続冷却
连续冷却转变	連続冷却変態
连续区间	連続区間
连续定量	連続定量
连续操作	連続操作
连续波	連続波
连续波光纤	連続波ファイバ
连续波光纤放大	連続波ファイバ増幅
连续波光纤放大器	連続波ファイバ増幅器
连续波镱	連続波イッテルビウム
连续波镱掺杂	連続波イッテルビウムドープ
连续波镱掺杂光纤	連続波イッテルビウムドープファイバ
连续波镱掺杂光纤放大	連続波イッテルビウムドープファイバ増幅
连续波镱掺杂光纤放大器	連続波イッテルビウムドープファイバ増幅器
迟钝	鈍い
迟钝圆柱	鈍い円柱
追溯	遡及
追溯研究	遡及研究する
追踪	追跡
追踪检查	追跡検査
送风	送風
送风机	送風機
适合	適合	適合する
适宜	適宜
适宜性	適宜性
适应	適応	適応する
适应不可执行	順応する実行不可能だ
适应的	順応する
适应量	適応量
适当	適切だ	適正だ
适当优先	適切だ優先
适当法律	適切だ法律
适当法律施行	適切だ法律施行
适当的解释	適切だ解釈
适当识别	適切だ識別
适当识别速度	適切だ識別速度
适当量	適正だ量
适用	適用	適用さ	適用する	適用できる	適用可能だ
逆	逆だ
逆人工	逆だ人工
逆人工开口	逆だ人工開口
逆人工开口部	逆だ人工開口部
逆人工开口雷达	逆だ人工開口部ライダー
逆变器	インバータ
逆向清洗	逆だ洗浄
逆向清洗速度	逆だ洗浄速度
逆流	逆流
逆流清洗	逆流洗浄
逆转	逆転
逆转录	RT
逆转转录	逆転転写
逆风	逆風
逆风带	逆風帯
选定	選定	選定する
选择	選ば	選択	選択する
选择实验	選択する実験
选择实验数据	選択する実験データ
选择实验数据曲线	選択する実験データ曲線
透明细胞癌	明細胞癌
透过	透過
逐年	年々
逐年增加	年々増加
逐年高	年々高い
逐次	逐次
逐次算法	逐次アルゴリズム
逐渐	より徐々に	徐々に	次第に
逐渐减少	より徐々に減少	より徐々に減少する	徐々に減少	徐々に減少する
逐渐增加	次第に増える
逐渐扩大	徐々に拡大
逐渐扩大的	徐々に拡大する
通过	よって	通す	Pd
通过CPC	CPC
通过CTAB	CTAB
通过ICM	ICM
通过扩增	通す増幅	通す増幅する
通过抗原	よって抗原
通过指纹	よってフィンガープリント
通过控制系统	よりコントロールシステム
通过提示	通す提示	通す提示する
通过数值	よって数値
通过明	よって明
通过板	よって板
通过板冷却	よって板冷却
通过板冷却过程	よって板冷却過程
通过构造	よって造る
通过的	しする
通过确证	より確証
通过离散	通す離散
通过离散空间	通す離散空間
通过精制	通す精製	通す精製する
通过进行	よって行う
通过透明细胞	よって明細胞
通过透明细胞癌	よって明細胞癌
通过鉴定	より同定する
通过非常准确	より非常だ正確だ
通过鲁棒	よってロバストだ
通量	フラックス
通量密度	フラックス密度
通量密度波形	フラックス密度波形
通量密度波形扭曲	フラックス密度波形歪
速度	スピード	流速度	速度
速度分布	速度分布
速度参数	速度パラメータ
速度离心	速度遠心
速度离心分离	速度遠心分離
速度论	速度論
速率	レート
速率方程	レート方程式
逻辑	ロジック
逻辑模块	ロジックモジュール
遗传	遺伝
遗传基因	する遺伝子
遗传现象	遺伝現象
避免	避ける
邮件	メール
邮件的	メールする
部位	部位
部分	セクション	部	部分
部分区域	部分領域
部分区域积分	部分領域積分
部分区域积分方式	部分領域積分方式
部分旋转	部回転
部分旋转流动	部回転変だ流
部分雷达	部ライダー
部旋转变流机	部回転変だ流機
配合	合わせる
配合物	錯体
配备	備える
配电	配電
配电系数	配電係数
配置	配置
配置构成	配置構成
配置系统	配置システム
配置转换	配置換える
酯	エステル
酯酶	エステラーゼ
酯酶活性	エステラーゼ活性
酵母	酵母
酵母细胞	酵母細胞
酵母细胞悬浮	酵母細胞懸濁
酵母细胞悬浮液	酵母細胞懸濁液
酵母细胞生理	酵母細胞生理
酵母细胞结构	酵母細胞構造
酶	酵素
酶片段	酵素断片
酶片段多	酵素断片多
酸	酸
酸乙酯	酸エチル
酸模式	酸パターン
酸氧化	酸酸化
酸燃料	酸燃料
酸燃料电池	酸燃料電池
酸结构	酸構造
酸缓冲	酸緩衝
酸缓冲液	酸緩衝液
酸转移	酸基転移
酸转移酶	酸基転移酵素
酸酯	酸エステル
酸钠	酸ナトリウム
酿造	醸造
酿造所	醸造所
酿造所废	醸造所廃
酿造所废水	醸造所廃水
醋	酢
采用	採用	採用する
采集	採取	採取さ	採取する
释放	放出	放出する
释放子宫	放出子宮
重	重
重复	重複
重复合	重複合
重复合抛物面	重複合放物面
重复合抛物面聚光	重複合放物面集光
重复合抛物面聚光器	重複合放物面集光器
重复合抛物面集	重複合放物面集
重复基因	反復遺伝子
重复管理	重複管理
重庆	重慶
重新	見直す
重症	重症
重症急性	重症急性
重组	組換える
重要	する重要だ	与える主要だ	重要だ
重要作用	重要だ役割
重要因素	する重要だ因子	重要だ因子
重要意义	重要だ意味
重要方法	重要だ方法
重要物质	重要だ物質
重要物质运输	重要だ物質輸送
重要物质运输过程	重要だ物質輸送プロセス
重要的	重要だ
重要的话题	重要だトピック
重要结构	与える主要だ構造
重量	重量
重量分析	重量分析
重量分析仪器	重量分析機器
重量曲线	重量曲線
量	量
量子	量子
量子字节	子ビット
量子模拟	量子シミュレーション
量子比特	量子ビット
量子点	量子ドット
量子计算	量子コンピューティング	量子計算
量子计算机	量子コンピュータ
量提取	量抽出
鉴定	同定	同定する
钓鱼	釣る
钙	Ca
钛	チタン	Ti
钛酸	チタン酸
钛酸钠	チタン酸ナトリウム
钠	ナトリウム
钢	鋼
钢板	鋼板
钢板冷却过程	板冷却過程
钢梁构造	トラス構造
钢级	鋼グレード
钢部分	鋼部分
钾	カリウム
钾气体	カリウムガス
铁	鉄	Fe
铅	Pb
铋	ビスマス
铜	Cu
铝	アルミニウム	Al
铝疫苗	アルミニウムワクチン
银杏	イチョウ
银杏叶	イチョウ葉
银杏叶提取物	イチョウ葉エキス
铸型	鋳型
铸型表面	鋳型表面
链	鎖
链式反应	鎖反応
链的	鎖な
锌	Zn
错误	エラー	誤る
错误治疗	誤る治療
锦缎	錦
镁	Mg
镇痛	鎮痛
镍	Ni
镜	鏡
镱	イッテルビウム
镱掺杂	イッテルビウムドープ
镱掺杂光纤	イッテルビウムドープファイバ
镱掺杂光纤放大	イッテルビウムドープファイバ増幅
镱掺杂光纤放大器	イッテルビウムドープファイバ増幅器
长	より長い	長い
长延伸	長い延伸
长延伸的	長い延伸する
门延迟	ゲート遅れる
闭塞	閉塞	閉塞する
闭塞条件	閉塞する条件
问卷	アンケート
问卷调查	アンケート調査
问题	いう問題	する問題	問題	問題ない
问题点	問題点
闸门	ゲート
阅读	読む
阅读理论	読む論理
队列	隊列
队列研究	隊列研究
防卫	防衛
防御	防御
防止	防ぐ	防止	防止する
防治	退治
阳性	陽性だ
阳性异常	陽性だ異常だ
阳性样品	陽性だサンプル
阳极	アノード
阳极触媒	アノード触媒
阴影	シャドウ	陰影
阴影映射	シャドウマッピング
阴影算法	陰影アルゴリズム
阵列	アレイ
阵列分析	アレイ分析
阵列检测	アレイ検出
阵列检测器	アレイ検出器
阶层	階層
阶段	段階
阶段识别	段階識別
阶段识别方法	段階識別方法
阶段通过CPC	段階CPC
阻碍	阻害	阻害さ	阻害する
附加	プラス	付ける	付加
附属	付属
附属物	付属物
附属物疑问	付属物疑問
附属盛京	付属盛京
附属盛京医院	付属盛京病院
降低	低下する	低減	低減さ
降低了的	いる低下するする
降低的	いる低下	いる低下する	低下するする
降低部分	低下部分
降水	降水
降水量	降水量
限制	制限	制限する	規制
限制分析	制限分析
限制性内切酶	制限酵素
限制性片段多	制限酵素断片多
限制性酶切片段	制限酵素断片
限制片段	制限断片
限外过滤	限外ろ過
限度	限	限度
限度检修	限度オーバーホール
院	院
除去	除く	除去さ	除去する
陶瓷	セラミック
陶瓷沉降	セラミック沈降
陶瓷沉降速度	セラミック沈降速度
随机	ランダム
随机变化	変化ランダム
随机延迟	ランダム遅延
障碍	障害
障碍自我	障害自己
障碍自我评价	障害自己評価
障碍自评量表	障害自己評価スケール
集	集
集体评分	集団評点
集体评论	集団評
集光度	集光度
集光度角度	集光度角度
集合	セット	集合
集合值	集合値
集合值变分	集合値変分
集合值变分包含	集合値変分内包
集合值解决	集合値解決
集合值解决方法	集合値解決法
集团	集団
集平	集平らだ
集平DNA	集平らだDNA
集平坦DNA交叉	集平らだDNAクロス
集平坦DNA交叉杂交	集平らだDNAクロスハイブリダイゼーション
集成	集積	集積する
集成功率	集積パワー
集成功率的IC	集積パワーIC
集约	集約
集群	クラスタ	クラスター
雷暴	雷雨
雷莫司琼	ラモセトロン
雷达	ライダー	レーダ	レーダー
雷达回波	レーダエコ
雷达复合	レーダ複合
雷达复合诱饵	レーダ複合デコイ
雷达技术	ライダー技術
雷达系统	レーダシステム	レーダーシステム
雾	霧
雾特性	霧特性
雾箱	霧箱
雾试验	霧試験
雾问题	霧問題
需要	必要だ
需要序列	必要だ応じるシーケンス
需要序列分析	必要だ応じるシーケンス分析
需要热量	必要だ熱量
静态	静的だ
静态结构	静的だ構造
静脉	静脈
静脉血	静脈血
静脉血样本	静脈血サンプル
静脉镇痛	静脈鎮痛
非常	する非常だ	非常だ
非常一致	非常だ良い一致	非常だ良い一致する
非常复杂	非常だ複雑だ
非常好	非常だ良い	非常だ良好だ
非常快速开发	非常だ急速だ開発
非常正确	非常だ正確だ
非常正确表示	非常だ正確だ表す
非常正确表示通过	より非常だ正確だ表す
非常能量	する非常だエネルギー	非常だエネルギー
非常能量汇集	する非常だエネルギー集約	非常だエネルギー集約
非常迅速	非常だ急速だ
非常迅速开发	非常だ急速だ開発する
非常重要	非常だ重要だ
面	面
面向反对	向かう反対の
面向反对态度	向かう反対だ態度
面向对象	するオブジェクト指向	オブジェクト指向
面向对象优点	するオブジェクト指向利点
面向对象的优点	オブジェクト指向利点
面弹丸	面弾丸
面试	面接
革命	革命
鞭	鞭
鞭毛	鞭毛
音响	音響
音响计时	音響計時
音响计时结果	音響計時結果
项目	アイテム
项目健康	アイテム健康だ
项目健康调查	アイテム健康だ調査
顺利	スムーズだ
顺序	手順
顺应	順応
顺应不可执行解	順応する実行不可能だ解
顺应执行	順応する実行
预备	予備
预想	予想	予想する
预测	予測	予測する
预测结果	予測結果
预读	先読む
预读理论	先読む論理
预防	予防
预防接种	予防接種
预防管理	予防管理
预防管理中心	予防管理センター
领先	先取り
领域	分野	領域
颈部	頚部
频带	周波帯	帯域
频带宽度	バンド幅
频带覆盖	帯域マルチ
频率	頻度
频率分布	頻度分布
额外	限外
颠倒	逆探
风	風
风力	風力
风力发电	風力発電
风力发电站	風力発電所
风力能源	風力エネルギ	風力エネルギー
风扇	ファン
风扇性能	ファン性能
风扇空	ファン空
风扇空力性能	ファン空力性能
风扇空气动力	ファン空力
风景	風景
风景指标	風景指標
风机性能试验	ファン性能試験
风机气动性能实验	ファン空力性能実験
风输出	風出力
风输出产业	風出力産業
风输出产业开发	風出力産業開発
风输出基础	風出力基盤
风输出开发	風出力開発
风输出相关	関する風出力
风输出网络	風出力ネットワーク
风输出网络相关	関する風出力ネットワーク
风险	リスク
飞机	飛行機
飞跃	飛躍
食品	食品
食品产业	食品産業
食品填充	食品充填
食品填充物	食品充填物
食物	食	食物
食用	食べる
食醋	食酢
餐厅	レストラン
饮料	飲料
饮食习惯	食べる習慣
饱和	飽和
饱和前后	飽和する前後
饱和水	飽和水
饱和液	飽和液
饱和的	飽和する
饱和破碎	飽和破砕
饱和破碎液	飽和破砕液
饲养	飼育	飼育する
饲料	料
馈电	フィード
首先	まず	先ず
香	香
香港	香港
香港市立	香港市立
香港市立大学	香港市立大学
香酸	香酸
香酸酯	香酸エステル
马拉维	マラウイ
马里	マリ
马里实验	マリ実験
马里实验组	マリ実験群
驯化	たいする
驱动	駆動
驱动力	駆動力
驴	ロバ
验证	より検証	検証	検証する
验证了	より検証する	立証する
验证模拟	検証する模擬
骨	骨
骨折	骨折
骨折患者	骨折患者
高	より高い	高	高い
高Km值	高いKm値
高乳	高い乳
高乳头	高い乳頭
高压	高圧
高度	高度
高度槽	高度トラフ
高度槽后方	高度トラフ後方
高度能源消耗	高度エネルギー多消費
高度能量	高度エネルギー
高度能量多	高度エネルギー多
高支付	高い支払
高支付能力	高い支払能力
高效液相色谱	HPLC
高斯	ガウス	Gaussian
高斯函数	ガウス関数
高斯函数峰值	ガウス関数ピーク
高斯多	ガウスマルチ
高斯多峰	ガウスマルチピーク
高斯多峰值拟合	ガウスマルチピークフィッティング
高斯多峰拟合法	ガウスマルチピークフィッティング法
高斯指	Gaussianフィンガー
高斯指纹	Gaussianフィンガープリント
高智能	高いインテリジェンス
高温	高温
高温合成	高温合成
高炉	高炉
高炉操作	高炉操業
高炉操作仿真	高炉操業シミュレーション
高炉操作结果	高炉操業結果
高炉操作结果预测	高炉操業結果予測
高炉模型	高炉モデル
高的Km	高いKm
高级结构	高次構造
高质量	より高い品質	高い品質
高速	高速だ
高速携带先	高速だキャリー先
高速携带预读	高速だキャリー先読む
高速波	高速だ波
高速的	高速だの
高速轴	高速だ軸
高速轴流	高速だ軸流
高速轴流风扇	高速だ軸流ファン
高速进位	高速だキャリー
高速进位预读理论	高速だキャリー先読む論理
高阶	高次
高龄	高齢
鲁棒	ロバストだ
鲜明	より鮮明だ	鮮明だ
鲜明看见	より鮮明だ見える	鮮明だ見える
鳞	鱗
鸟嘌呤	グアニン
麦克风	マイク
麦芽	麦芽
麦芽汁	麦芽汁
黄瓜	キュウリ
黑铅	黒鉛
黑龙江	黒竜江
鼠标	マウス
齿轮	ギア
